Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"Sun West Mortgage Company, Inc.",,Open,08/30/2013,,"500 to 999",1,TX
"Sun West Mortgage Company, Inc.",,Open,05/17/2013,,"500 to 999",2,NJ
"Sun West Mortgage Company, Inc.",,Open,05/17/2013,,"500 to 999",1,NV
"Sun West Mortgage Company, Inc.",,Open,05/17/2013,,"500 to 999",1,OK
"Sun West Mortgage Company, Inc.",,Open,05/17/2013,,"500 to 999",1,SC
"Sun West Mortgage Company, Inc.",,Open,05/17/2013,,"500 to 999",1,TN
"Sun West Mortgage Corp.",,Open,12/12/2017,,"20 to 99",1,PR
"Sunbelt Capital, Inc.",,Terminated,06/18/2009,04/24/2011,"5 to 9",1,SC
"Sunbelt Group LLC","Sunbelt Insurance",Open,02/25/2019,,"20 to 99",1,TN
"Sunbelt Securities, Inc.",,Open,12/22/2016,,"10 to 19",1,TX
"Suncoast Credit Union",,Open,09/11/2018,,"1,000 to 2,499",1,FL
"Suncoast Credit Union",,Open,05/07/2019,,"1,000 to 2,499",1,FL
"Suncoast Schools Federal Credit Union",,Open,06/16/2009,,"1,000 to 2,499",1,FL
"Suncrest Bank",,Open,10/14/2015,,"100 to 499",9,CA
"Sundvold Financial",,Open,10/30/2009,,"10 to 19",1,MO
"SunFirst Bank",,Open,08/11/2010,,"20 to 99",1,UT
"Sunflower Bank, N.A.",,Terminated,12/03/2008,04/14/2009,"500 to 999",2,"CO, KS"
"Sunflower Bank, NA",,Open,12/05/2011,,"500 to 999",1,KS
"SUNG LEE","A PLUS PAYROLL SVC",Open,02/26/2019,,"100 to 499",1,CA
"SunGard Energy Systems Inc.",,Terminated,11/06/2009,03/07/2016,"100 to 499",1,TX
"SunGard Investment Systems LLC",,Terminated,11/06/2009,03/20/2019,"100 to 499",1,IL
"SunGard Reference Data Solutions Inc.",,Terminated,11/06/2009,03/07/2016,"20 to 99",1,NY
"Sunlight Financial LLC",,Open,01/08/2020,,"100 to 499",1,NY
"SunMark Community Bank","SunMark Community Bank",Open,05/28/2013,,"20 to 99",1,GA
"Sunmark Federal Credit Union",,Open,06/26/2018,,"100 to 499",1,NY
"Sunmark Federal Credit Union",,Open,09/01/2009,,"100 to 499",11,NY
"Sunpointe, LLC","Sunpointe Investments",Open,12/17/2019,,"5 to 9",1,MO
"Sunrise Capital Services, LLC",,Open,07/12/2018,,"5 to 9",1,FL
"Sunrise Finance Company",,Open,07/12/2017,,"10 to 19",1,KY
"Sunrise Financial, Inc.",,Open,11/15/2007,,"10 to 19",1,AZ
"Sunrise Futures, LLC",,Open,06/09/2014,,"20 to 99",1,IL
"Sunset Management","Sunset Finance",Open,06/15/2011,,"20 to 99",29,"GA, SC"
"Sunshine Bank",,Terminated,07/20/2016,09/19/2019,"100 to 499",1,FL
"Sunshine Life and Health Advisors",,Open,12/09/2016,,"20 to 99",1,FL
"Sunshine Savings Bank",,Open,09/07/2011,,"20 to 99",1,FL
"Sunshine Village",,Open,09/28/2010,,"20 to 99",1,AZ
"SunSouth Bank",,Open,10/05/2017,,"20 to 99",2,AL
"Sunsouth Bank",,Terminated,04/24/2012,09/02/2017,"20 to 99",4,AL
"Sunstreet Mortgage, LLC",,Open,12/22/2010,,"20 to 99",1,AZ
"SUNTRUST BANK",,Open,11/21/2018,,"5,000 to 9,999",15,"DC, MT, SC"
"SunTrust Mortgage",,Open,02/27/2018,,"100 to 499",1,VA
"SUNTRUST MORTGAGE","SUNTRUST MORTGAGE",Open,06/16/2015,,"5,000 to 9,999",3,"FL, GA, SC"
"SunUp Financial, LLC","Balance Credit",Open,09/16/2015,,"20 to 99",1,TX
"Sunwest Bank",,Open,06/15/2012,,"100 to 499",1,CA
"SUNWEST BENEFITS CONSULTING INC",,Open,03/31/2014,,"5 to 9",1,AZ
"Sunwest Federal Credit Union",,Open,08/20/2015,,"100 to 499",1,AZ
"SunWest Federal Credit Union",,Open,11/15/2007,,"100 to 499",1,AZ
"Sunz Insurance Agency",,Terminated,12/17/2015,11/01/2017,"5 to 9",1,FL
"Sunz Insurance Solutions, Inc",,Open,12/17/2015,,"20 to 99",1,FL
"Super Auto Insurance Agency",,Open,04/09/2017,,"20 to 99",1,GA
"Super Auto Insurance Agency, Inc.",,Open,04/03/2013,,"10 to 19",1,CA
"Superior Bank",,Terminated,05/12/2009,07/21/2011,"500 to 999",1,AL
"Superior Bank N.A.",,Open,07/29/2011,,"500 to 999",1,AL
"Superior Federal Credit Union",,Terminated,09/29/2009,11/11/2012,"100 to 499",1,OH
"Superior Financial Services LLC","S&F FInancial Services",Open,02/04/2019,,"20 to 99",1,GA
"Superior Financial Services, Inc",,Open,07/11/2019,,"20 to 99",8,TN
"Superior Performers, Inc.","National Agents Alliance",Open,08/10/2016,,"20 to 99",1,NC
"Superior Vision",,Open,03/14/2017,,"100 to 499",6,"AZ, MD"
"Superior Vision Services",,Open,07/06/2009,,"100 to 499",2,CA
"Superior Vision Services, Inc.",,Open,08/06/2009,,"20 to 99",2,CA
"Supernova Lending LLC FKA BetterDebt LLC",,Open,12/09/2015,,"20 to 99",1,IL
"Superstition Marketing, LLC",,Terminated,02/04/2009,03/18/2011,"5 to 9",1,AZ
"Supports Coordination Group LLC",,Terminated,08/21/2018,05/05/2019,"20 to 99",1,PA
"Supreme Lending",,Open,06/12/2006,,"100 to 499",1,TX
"Surency Life & Health Insurance Company",,Open,07/12/2017,,"5 to 9",1,KS
"Surepoint Lending",,Open,10/28/2009,,"500 to 999",1,KY
"Surety Land Title of Florida, LLC",,Open,03/28/2012,,"10 to 19",1,FL
"Surety Land Title, Inc.",,Open,03/28/2012,,"20 to 99",1,AL
"Surety Placement Services",,Open,10/17/2007,,"10 to 19",1,AZ
"Surety Solutions Insurance Services, Inc.",,Open,03/08/2013,,"10 to 19",1,CA
"Surfingrain Capital LLC","Surfingrain Capital LLC",Open,03/04/2011,,"5 to 9",1,NY
"Surgical Safety Solutions",,Terminated,05/27/2015,05/20/2018,"5 to 9",8,"FL, MA, MD, NJ, NM, OH, PA, SC"
"Surrey Bank & Trust",,Open,09/03/2013,,"20 to 99",1,NC
"Susquehanna Community Bank",,Open,09/25/2009,,"20 to 99",1,PA
"Susquehanna International Group, LLP",,Terminated,05/07/2008,06/11/2012,"1,000 to 2,499",8,"CA, CT, IL, MA, NY, PA"
"Susquehanna International Group, LLP (SIG)",,Open,04/11/2012,,"1,000 to 2,499",10,"CA, CT, FL, IL, MA, NJ, NY, PA"
"Sussex Bank",,Open,09/11/2009,,"100 to 499",10,"NJ, NY"
"Sussex Bank",,Terminated,05/05/2016,06/15/2016,"100 to 499",11,"NJ, NY"
"Sutter McLellan & Gilbreath Inc",,Open,12/11/2017,,"20 to 99",1,GA
"Sutter, McLellan & Gilbreath, Inc.",,Open,08/15/2011,,"20 to 99",1,GA
"Sutterfield Financial Group, Inc.",,Open,11/22/2009,,"10 to 19",1,OK
"SUTTERS MILL GOLD & JEWELRY, INC","PEE WEES PAWN",Terminated,04/06/2012,10/25/2015,"5 to 9",1,AL
"Sutton & Sutton, Inc.",,Open,12/03/2015,,"5 to 9",1,AL
"Sutton Bank",,Open,10/28/2019,,"100 to 499",1,OH
"Suzanne Whitworth State Farm",,Open,12/31/2019,,"5 to 9",1,GA
Suzette,,Open,05/13/2019,,"20 to 99",1,FL
"SVA Underwriting Services, Inc",,Open,07/01/2019,,"5 to 9",1,NY
"SVB Financial Group",,Open,04/20/2010,,"1,000 to 2,499",4,"AZ, GA, IL, UT"
"SVB Leerink LLC",,Open,08/28/2018,,"100 to 499",4,"CA, MA, NC, NY"
"SVIG Insurance Center",,Open,09/08/2015,,"20 to 99",1,CA
"SWAIN MORTGAGE COMPANY DBA STONEGATE MORTGAGE",,Terminated,08/20/2009,10/02/2009,"20 to 99",5,"FL, IN, KS, KY, OH"
"Swan Global Holdings","Swan Global Investments",Open,10/01/2018,,"20 to 99",3,"CO, FL, TX"
"Swan Global Management",,Open,10/02/2018,,"10 to 19",1,PR
"SWART BAUMRUK FINANCIAL SERVICES, INC","SWART BAUMRUK FINANCIAL SERVICES, INC",Open,03/20/2020,,"10 to 19",1,FL
"Swarts, Manning & Associates",,Open,01/06/2016,,"10 to 19",1,NV
"SWBC MORTGAGE",,Open,01/07/2013,,"20 to 99",1,TX
"Sweet Claims Service",,Open,06/18/2015,,"20 to 99",1,OK
"Sweet Memphis Sixteen LTD","Flying Saucer",Open,01/05/2017,,"20 to 99",1,TN
"Sweet Water State Bank",,Open,07/11/2012,,"20 to 99",1,AL
"Sweetwater Investment Management LLC",,Open,10/08/2019,,"5 to 9",1,CA
"Swett & Crawford",,Open,05/12/2009,,"500 to 999",32,"AR, AZ, CA, CO, FL, GA, HI, ID, IL, MA, ME, MI, MN, MO, NC, NJ, NY, OR, PA, TX, UT, WA"
"Swift Financial Corporation","Swift Capital",Open,04/14/2016,,"100 to 499",2,"DE, PA"
"Swilling Underwriting Services LLC",,Open,05/24/2017,,"5 to 9",1,GA
"SWIMMER INSURANCE AGENCY, INC",,Open,12/06/2011,,"20 to 99",1,NC
"Swinford & Associates, INC",,Open,10/20/2017,,"5 to 9",1,MO
"Swinton Financial Group",,Open,06/27/2011,,"20 to 99",1,IL
"Swiss Re America Holding Corporation",,Open,05/02/2012,,"1,000 to 2,499",25,"CA, CO, CT, DC, FL, GA, IA, ID, IL, IN, KS, MA, MI, NC, NH, NY, PA, TX, VA"
"Swiss Re Life & Health America Inc.",,Terminated,01/20/2009,03/18/2014,"500 to 999",1,NY
"Swiss Re Life & Health America Inc.",,Terminated,12/04/2008,02/10/2014,"500 to 999",1,IN
"Switala Insurance Agency","Switala Insurance Agency",Open,01/19/2014,,"5 to 9",1,AZ
"SWITZER COBB WEALTH PARTNERS",,Terminated,05/08/2014,06/14/2019,"5 to 9",1,SC
"SWRJ BENEFITS ENTERPRISES LLC",,Open,08/08/2014,,"5 to 9",1,LA
"Swyfft Holdings, LLC",,Open,08/29/2019,,"100 to 499",5,"FL, NJ, WA"
"Sycamore Federal Credit Union",,Open,08/22/2018,,"10 to 19",1,AL
"Sycamore Federal Credit Union","Sycamore Federal Credit Union",Open,06/22/2012,,"5 to 9",1,AL
"sykes enterprises, Incorporated",,Open,01/09/2017,,"10 to 19",3,"GA, PA, SC"
"Symetra Financial Corporation",,Open,11/06/2019,,"1,000 to 2,499",1,WA
"Symetra Financial Corporation",,Open,03/30/2012,,"1,000 to 2,499",4,"GA, NC, UT"
"Symmetry Financial Group",,Open,04/27/2018,,"20 to 99",1,NC
"Symmetry Lending LLC",,Open,01/19/2018,,"5 to 9",1,GA
"Synartis Health Services LLC",Synartis,Open,11/24/2017,,"10 to 19",1,GA
"Syncada, LLC",,Open,01/10/2012,,"20 to 99",1,TN
"Synchrony Bank","Synchrony Financial",Open,02/11/2015,,"10,000 and over",23,"AR, AZ, CA, CT, FL, GA, IL, KS, MI, MN, NC, NJ, OH, PR, SD, TX, UT"
"Synchrony Financial Services Puerto Rico, LLC","Synchrony Financial",Open,01/05/2018,,"100 to 499",1,PR
"Syndicate Claim Services Inc",,Open,03/02/2017,,"20 to 99",1,IN
"Synergy 1 Lending",,Open,05/15/2013,,"10 to 19",1,CA
"SYNERGY ADJUSTING CORPORATION",,Open,12/17/2013,,"10 to 19",1,GA
"Synergy Bank",,Open,09/17/2009,,"100 to 499",1,LA
"Synergy Bank SSB",,Terminated,06/05/2014,09/16/2017,"20 to 99",1,TX
"Synergy Comp Insurance Company",,Open,11/29/2018,,"20 to 99",1,PA
"Synergy Coverage Solutions LLC",,Open,07/02/2013,,"20 to 99",1,NC
"Synergy One Lending Inc.","Mutual of Omaha Mortgage",Open,09/17/2019,,"500 to 999",1,CA
"Synopay Inc.",,Open,07/01/2019,,"5 to 9",1,IL
"Synovus Financial Corp.",,Open,04/01/2009,,"5,000 to 9,999",337,"AL, FL, GA, SC, TN"
"Synovus Mortgage",,Open,01/03/2018,,"100 to 499",1,FL
"Synthetic P2P Holdings Corporation",PeerIQ,Open,05/18/2016,,"10 to 19",1,NY
"System and Services Technologies",,Open,10/06/2011,,"10,000 and over",2,"MD, PA"
"Systematic Financial Management L.P.",,Open,06/26/2007,,"20 to 99",1,NJ
"Syverson Inc.","Property Damage Appraisers",Terminated,09/10/2018,01/01/2020,"10 to 19",4,"MT, ND, SD, WY"
"T Bank National Association",,Terminated,02/06/2018,01/12/2020,"20 to 99",1,TX
"T K Keith Company d/b/a Primax",,Open,02/17/2009,,"20 to 99",1,MA
"T Wilson Insurance Agency, Inc",,Open,04/27/2011,,"5 to 9",1,PA
"T&B Enterprises, LLC",Allstate,Open,08/18/2010,,"5 to 9",1,SC
"T&B Limited","Thames Batre Insurance",Open,04/04/2012,,"20 to 99",2,AL
"T-REX Group, Inc.",,Open,09/15/2015,,"10 to 19",1,NY
"T-REX Group, Inc.",,Open,12/03/2014,,"10 to 19",2,"CA, NY"
"T. Rowe Price Associates Inc.",,Open,08/26/2012,,"2,500 to 4,999",2,MD
"T.A. & T. Finance Corp.",,Open,07/10/2008,,"10 to 19",3,TX
"T.J. Holdings, LLC",PRIUM,Open,08/19/2013,,"20 to 99",1,GA
"T.W. Lord Jr. Insurance Agency","T.W. Lord & Associates",Open,02/17/2011,,"5 to 9",1,GA
"T3 Capital Management, LLC",,Open,07/06/2010,,"10 to 19",1,NY
"taax services",,Open,04/04/2008,,"10 to 19",15,"NY, TX"
"TAB Bank",,Open,10/18/2013,,"100 to 499",10,"AZ, CA, CT, FL, GA, IL, MO, NC, NY, UT"
"Taben, LC","The Taben Group / Taben Group / Taben",Open,04/26/2013,,"20 to 99",1,KS
"TADMOR T. BARZILAI, CPA INC","TEDDY ACCOUNTING SERVICES",Open,05/27/2015,,"5 to 9",1,CA
"TAFS, Inc.","TAFS, Inc.",Open,02/01/2019,,"100 to 499",2,"KS, TX"
"TAG Associates LLC",,Open,03/09/2009,,"20 to 99",1,NY
"TAG Financial Inc.","The Advisory Group",Open,12/13/2010,,"5 to 9",1,CA
"TAG Financial Institutions Group",,Open,12/13/2019,,"5 to 9",1,NY
"Tag Financial Services Inc",,Open,02/24/2014,,"5 to 9",1,GA
"TAG Resources LLC",,Open,11/13/2019,,"20 to 99",1,TN
"Tahoe Fixed Income, LLC",,Open,07/01/2015,,"10 to 19",2,"CA, NC"
"Taiwan Business Bank, New York Branch",,Open,09/19/2018,,"10 to 19",1,NY
"Talbot State Bank",,Open,03/03/2014,,"10 to 19",2,GA
"Talcott Resolution Life Insurance Co.",,Open,05/22/2018,,"100 to 499",1,CT
"Talladega Insurance Agency",,Open,05/04/2012,,"5 to 9",1,AL
"Tallahassee-Leon Federal Credit Union",,Open,01/04/2017,,"20 to 99",1,FL
"Talon Financial Services, LLC",,Open,11/14/2018,,"20 to 99",2,"IL, TX"
"Tamarak Capital",,Open,03/07/2017,,"5 to 9",1,UT
"Tammy Elders","Elders Insurance Agency",Open,04/11/2012,,"5 to 9",1,AL
"Tammy Fortson Insurance Agency",,Terminated,09/27/2011,12/10/2013,"10 to 19",1,SC
"Tammy Peach Agency, Inc.",,Open,11/11/2018,,"5 to 9",1,MN
"Tandem Bank",,Open,09/18/2019,,"5 to 9",1,GA
"Tandem Innovative Payment Solutions",Tandem,Open,04/07/2016,,"10 to 19",1,SC
"Tandem Investment Advisors Inc.","Tandem Advisors",Open,06/10/2019,,"5 to 9",1,SC
"TANDEM, INC.",,Terminated,02/06/2014,09/20/2017,"10 to 19",1,NV
"TandemMoney LLC",,Open,08/22/2012,,"5 to 9",1,SD
"Tandigm Health, LLC",,Open,07/22/2014,,"5 to 9",1,PA
"Tang Advisors, LLC",,Open,02/21/2018,,"20 to 99",2,"CA, NY"
"Tangiers, LLC",,Open,11/14/2017,,"100 to 499",1,AZ
"Tanius Technology LLC","Tanius Technology, LLC",Open,08/10/2009,,"10 to 19",1,CA
"TANNER INSURANCE AGENCY, INC",,Open,10/04/2012,,"5 to 9",1,GA
"Tanner, Ballew And Maloof Inc",,Open,07/24/2014,,"20 to 99",1,GA
"Tanner, Ballew and Maloof, Inc",,Open,04/24/2017,,"20 to 99",1,GA
"Taos Global Group Inc.",,Open,06/26/2012,,"20 to 99",3,"CA, IL, NY"
"TAOS GLOBAL GROUP OF NEW YORK INC",,Open,12/14/2018,,"5 to 9",1,NY
"TAP Advisors LLC",,Open,10/31/2019,,"20 to 99",1,NY
"Tapco Underwriters, Inc",,Open,02/13/2009,,"100 to 499",3,"FL, NC, VA"
"Tarica & Whittemore, PC",,Open,12/28/2012,,"5 to 9",1,GA
TASC,,Open,06/29/2009,,"500 to 999",1,WI
"Tate & Kirlin Associates INC.","Tate & Kirlin Associates",Open,06/18/2012,,"100 to 499",2,"NJ, PA"
"Tate Insurance Group Inc.",,Terminated,11/02/2016,06/20/2018,"10 to 19",1,TN
"Tavernier Capital Partners, LLC",,Open,05/20/2010,,"20 to 99",5,FL
"TAX & ACCOUNTING SERVICES, INC.",,Open,06/11/2013,,"10 to 19",1,IL
"Tax Credit Co., LLC",,Open,10/09/2014,,"100 to 499",1,CA
"Tax Defense Network",,Open,05/02/2018,,"100 to 499",1,FL
"Tax Defense Network LLC",,Open,05/16/2018,,"100 to 499",1,FL
"Tax Express & Professional Services",,Open,11/20/2008,,"5 to 9",1,FL
"Tax Management Services Inc",,Open,04/26/2018,,"100 to 499",1,WI
"TAX PROS ETC",,Open,11/14/2013,,"5 to 9",1,TN
"Tax Revenue.US, LLC","The Resource Professionals Group",Open,05/19/2011,,"5 to 9",1,TX
"Tax- State of Utah-Department of Human Resource Management",,Terminated,11/07/2007,12/21/2017,"500 to 999",1,UT
"TaxAct Holdings, Inc",TaxAct,Open,06/18/2018,,"100 to 499",2,"IA, TX"
"TAXATION MASTER INC","OC Financial Services",Open,03/12/2020,,"20 to 99",1,CA
"Taxland USA","Taxland USA",Open,12/04/2013,,"10 to 19",1,MI
"Taylor Benefit Resource",,Open,06/26/2009,,"10 to 19",1,GA
"Taylor Derrick Capital, LLC",,Terminated,07/01/2013,02/28/2019,"5 to 9",2,"NV, UT"
"Taylor Hoffman Wealth Management",,Open,04/15/2019,,"5 to 9",1,VA
"Taylor Morrison Home Funding, LLC:",,Open,01/28/2009,,"20 to 99",1,FL
"Taylor, Turner and Hartsfield LLC","Taylor & Turner Insurance Services Inc",Open,07/18/2013,,"20 to 99",1,GA
"Taylor-Walker & Associates, Inc.",,Terminated,08/25/2010,02/20/2016,"10 to 19",1,UT
"Taylor-Walker Consulting, LLC",,Open,12/14/2015,,"10 to 19",1,UT
"Taylorsville Savings Bank, SSB",,Terminated,08/05/2013,02/12/2014,"20 to 99",3,NC
"TBA Insurance Group, Ltd",,Terminated,08/14/2012,05/26/2019,"100 to 499",1,TX
tbi,"tbi inc",Open,03/16/2015,,"20 to 99",1,GA
"TBK Bank, SSB",,Terminated,06/27/2017,04/19/2019,"1,000 to 2,499",63,"CO, IA, IL, KS, MO, NM, TX"
"TBK Bank, SSB",,Open,02/15/2019,,"1,000 to 2,499",76,"CO, IA, IL, KS, MO, NM, OR, TX"
"TBK Bank, SSB",,Open,01/17/2020,,"1,000 to 2,499",71,"CO, IL, KS, NM, TX"
"TBP Consulting US Ltd.","Trustbridge Partners",Open,10/30/2019,,"5 to 9",1,MA
"TBS Factoring Service, LLC","TBS Factoring Service, LLC",Open,06/15/2018,,"100 to 499",1,OK
"TC Automotive Partners Funding Group, LLC",,Open,11/23/2007,,"10 to 19",1,AZ
"TC Federal Bank",,Open,04/15/2019,,"20 to 99",4,"FL, GA"
"TCA Financial",,Open,02/28/2007,,"100 to 499",1,CO
"TCB Corporation","TCB Corporation",Open,11/16/2010,,"100 to 499",1,SC
"TCF Bank",,Open,12/03/2008,,"2,500 to 4,999",3,"IL, IN, WI"
"TCF Bank","TCF National Bank",Terminated,01/25/2008,03/02/2020,"5,000 to 9,999",115,"AZ, MN"
"TCF Bank Michigan",,Open,12/10/2008,,"500 to 999",1,MI
"TCG, LLC.",,Open,05/31/2019,,"20 to 99",3,"CA, NY"
"TCI Wealth Advisors, Inc.",,Open,03/14/2018,,"20 to 99",6,"AZ, CA, CO, NV"
"TCI Wealth Advisors,Inc.",,Open,01/15/2008,,"20 to 99",3,"AZ, CO, NV"
"TCMI, Inc","Technology Crossover Ventures",Open,12/15/2015,,"20 to 99",1,CA
"TCPP LLC",TrustCommerce,Open,12/16/2019,,"20 to 99",1,CA
"TCS - California, L.P.",,Open,06/19/2013,,"5 to 9",1,UT
"TD Ameritrade",,Open,01/25/2012,,"5,000 to 9,999",15,"AL, AZ, GA, NC, SC, TN, UT"
"TD Ameritrade Holding Corporation",,Open,05/13/2019,,"10,000 and over",413,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV"
"TD Ameritrade Holding Corporation",,Open,01/19/2017,,"5,000 to 9,999",253,"AL, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NE, NH, NJ, NV, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI"
"TD Auto Finance",,Open,11/17/2011,,"100 to 499",5,NJ
"TD Auto Finance",,Open,03/16/2017,,"500 to 999",117,"AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WV"
"TD Bank",,Open,02/28/2020,,"10,000 and over",1,ME
"TD Bank NA","Carolina First",Terminated,10/27/2010,07/20/2013,"500 to 999",26,SC
"TD Bank NA","Carolina First Bank",Terminated,10/27/2010,07/20/2013,"20 to 99",5,SC
"TD Bank NA","Carolina First Bank",Terminated,10/27/2010,07/20/2013,"100 to 499",26,SC
"TD Bank NA","Carolina First Bank",Terminated,10/27/2010,07/20/2013,"100 to 499",26,SC
"TD Bank NA","Carolina First Bank",Terminated,10/27/2010,11/02/2010,"500 to 999",30,SC
"TD Bank NA","TD Bank",Open,11/02/2010,,"10,000 and over",4644,"AL, AZ, FL, GA, MS, NC, RI, SC, TN, UT"
"TD Bank USA, N.A.",,Open,03/16/2017,,"10 to 19",5,"CO, DE, ME, MN"
"TD Bank, N.A.",,Terminated,10/19/2018,12/28/2018,"10,000 and over",4644,"AL, AZ, FL, GA, MS, NC, RI, SC, TN, UT"
"TD Bank, N.A.",,Open,03/28/2017,,"10,000 and over",1497,"AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NM, NY, OH, PA, RI, SC, TX, UT, VA, VT, WI, WV"
"TD Bank, N.A.",,Open,11/29/2018,,"10,000 and over",1601,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV"
"TD Equipment Finance",,Open,03/28/2017,,"20 to 99",16,"FL, MA, MD, ME, NC, NJ, NY, PA, RI, SC"
"TD Securities",,Open,03/20/2017,,"500 to 999",16,"CT, FL, MA, ME, NC, NJ, NY, PA, TX, VA"
"TD Securities USA LLC",,Open,08/22/2012,,"500 to 999",1,NY
"TD Securities USA, LLC",,Open,10/19/2018,,"1,000 to 2,499",1,NY
"TDAM USA",,Open,03/21/2017,,"20 to 99",3,"MA, NH, NY"
"TDB Financial Services",,Open,04/27/2010,,"5 to 9",1,GA
"Teacher Retirement System of Texas",,Open,03/09/2015,,"500 to 999",1,TX
"Teacher Retirement System of Texas","Teacher Retirement System of Texas",Open,08/23/2019,,"500 to 999",1,TX
"Teachers Credit Union",,Open,07/24/2009,,"500 to 999",46,"IN, MI"
"Teachers Credit union","Teachers Credit Union",Open,06/04/2019,,"500 to 999",52,"IN, MI"
"Teachers Federal Credit Union",,Open,06/12/2008,,"500 to 999",1,NY
"Teachers Health Trust",,Open,08/04/2008,,"20 to 99",1,NV
"TEACHERS RETIREMENT SYSTEM OF LOUISIANA",,Open,05/28/2015,,"100 to 499",1,LA
"Teagues Fine Jewelry and Loan Inc",,Open,05/07/2012,,"5 to 9",1,SC
"Team Belvedere LLC",,Open,12/07/2015,,"100 to 499",1,IL
"Team Belvedere LLC",,Open,09/12/2018,,"100 to 499",1,IL
"Team Focus Insurance Group, LLC",,Open,04/04/2019,,"100 to 499",1,FL
"TEAM Insurance, LLC",,Open,07/28/2014,,"5 to 9",1,TX
"Team Usa Mortgage Llc",,Open,03/18/2019,,"20 to 99",1,IL
TeamTrade,TeamTrade,Open,07/02/2015,,"10 to 19",1,NY
"TEB Benefits Group Inc",,Open,10/17/2011,,"5 to 9",1,TX
"Tech Square Trading",,Terminated,01/06/2017,01/09/2017,"5 to 9",1,MA
"Tech Square Trading",,Open,10/21/2013,,"5 to 9",1,MA
"Teche Bank & Trust Co.",,Terminated,03/17/2016,04/07/2018,"20 to 99",5,LA
"Teche Federal Bank",,Open,06/25/2008,,"100 to 499",1,LA
"Teche Federal Bank",,Open,04/04/2012,,"100 to 499",1,LA
"TechNexus, LLC",,Open,09/21/2017,,"20 to 99",1,IL
"Technology Credit Union","Tech CU",Open,05/19/2017,,"100 to 499",1,CA
"Technology Enhanced Claims Handling",,Open,08/22/2016,,"20 to 99",1,FL
"Ted Todd Insurance",,Open,01/16/2014,,"20 to 99",1,FL
"Ted Todd Insurance",,Open,12/19/2019,,"20 to 99",5,"FL, GA"
"Ted Todd Insurance","Marilyn Todd Insurance",Open,12/24/2019,,"20 to 99",5,"FL, GA"
"Ted Todd Insurance GA LLC",,Open,03/19/2018,,"10 to 19",1,GA
"Teffia Inc",,Open,11/08/2016,,"20 to 99",1,AZ
"Teffia, Inc",,Open,11/08/2016,,"20 to 99",1,AZ
"Tegeler & Associates",,Open,11/26/2012,,"20 to 99",15,WY
"TekCollect Incorporated",,Open,12/23/2015,,"20 to 99",1,OH
"Telco Community Credit Union","Telco Community Credit Union",Open,03/08/2017,,"20 to 99",1,NC
"Telco Credit Union",,Terminated,12/04/2013,07/11/2018,"20 to 99",1,NC
"Telco Triad Community Credit Union",,Open,12/18/2013,,"20 to 99",1,IA
"Teledraft, Inc",,Terminated,01/28/2008,08/10/2013,"10 to 19",1,AZ
"Telemet America, Inc.",,Open,01/15/2010,,"20 to 99",1,VA
"Tellimer Markets Inc","Tellimer Markets Inc",Open,01/27/2020,,"10 to 19",1,NY
"Telluride Asset Management LLC",,Open,02/26/2013,,"10 to 19",1,MN
"Tellus Core, Inc.",,Open,12/26/2019,,"10 to 19",1,CO
"Telsey Advisory Group",,Open,10/02/2015,,"20 to 99",1,NY
"Tempo Financial Holdings",I-transfer,Open,01/31/2011,,"20 to 99",1,CO
"Tempo Financial Holdings Corporation",i-transfer,Open,05/15/2015,,"20 to 99",6,"CO, NE, NV"
"TEMPOE LLC",,Open,02/27/2020,,"100 to 499",23,"AZ, CA, CO, FL, GA, ID, IL, IN, KY, MA, MI, MO, NC, NH, NV, NY, OH, SC, TN, TX"
"TenA Companies, Inc.",,Open,03/23/2007,,"100 to 499",1,MN
"Tenaron Capital Management LP",,Open,11/05/2019,,"20 to 99",1,NY
"Tenaron Capital Management LP JWP",,Terminated,12/11/2017,02/03/2020,"10 to 19",1,NY
"Tenaya Capital, LLC",,Open,11/03/2011,,"20 to 99",1,CA
"Tenet Wealth Managerment",,Open,07/11/2018,,"5 to 9",1,SC
